uid,non_webpage_list
MT00274,"[[u'http://www.facebook.com/pages/Mark-Perea-For-Montana/422836047734247', u'http://www.youtube.com/watch?v=xlLHh7Whf70', u'http://www.mtgop.org/index.php/legislature/148-senate-district-41-mark-perea.html', u'http://helenair.com/news/local/govt-and-politics/republican-mark-perea-challenges-incumbent-democrat-christine-kaufmann-in-sd/article_cd0a3770-6a7e-11e1-bc5b-001871e3ce6c.html', u'http://twitter.com/gmarkperea', u'http://mtcowgirl.com/tag/mark-perea/', u'http://www.mtvoters.org/files/FilingsLeg.pdf', u'http://saveopen.info/2.html', u'http://mtvoters.org/2012/endorsed'], [u'http://www.youtube.com/watch?v=xlLHh7Whf70', u'http://www.facebook.com/pages/Mark-Perea-For-Montana/422836047734247', u'http://www.youtube.com/watch?v=xOzRShCdCmo', u'http://twitter.com/gmarkperea', u'http://www.youtube.com/watch?v=p0UsabKBIyM', u'http://helenair.com/news/local/govt-and-politics/republican-mark-perea-challenges-incumbent-democrat-christine-kaufmann-in-sd/article_cd0a3770-6a7e-11e1-bc5b-001871e3ce6c.html', u'http://mtcowgirl.com/2012/08/14/these-women-are-concerned/', u'http://helenair.com/news/opinion/readers_alley/kaufmann-gets-it/article_39881ffa-0158-11e2-b947-0019bb2963f4.html', u'http://mtvoters.org/2012/endorsed'], [u'http://www.facebook.com/pages/Mark-Perea-For-Montana/422836047734247', u'http://www.youtube.com/watch?v=xlLHh7Whf70', u'http://www.youtube.com/watch?v=xOzRShCdCmo', u'http://www.youtube.com/watch?v=p0UsabKBIyM'], [u'http://www.facebook.com/pages/Mark-Perea-For-Montana/422836047734247', u'http://www.mtgop.org/index.php/legislature/148-senate-district-41-mark-perea.html', u'http://montanafamily.org/july-2012-legislative-update/', u'http://mtvoters.org/2012/endorsed', u'http://www.bacasfuneralchapelslascruces.com/sitemaker/sites/BacasF2/obit.cgi?user=676480Ramos', u'http://www.nrapvf.org/grades-endorsements/2012/montana.aspx', u'http://www.mtgop.org/index.php/legislature.html', u'http://vote-mt.org/election.aspx?state=mt&election=mt20121106ga']]"
MT00276,"[[u'http://jonarnoldforsenate.com/', u'http://mtstandard.com/news/state-and-regional/govt-and-politics/three-running-for-senate-district/article_f699af88-ac6b-11e1-ad9f-001a4bcf887a.html', u'http://mtcowgirl.com/tag/jon-arnold/', u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-jonathan-arnold-republican/article_d5f185ee-0dd2-11e2-8871-0019bb2963f4.html', u'http://www.mtgop.org/index.php/legislature/102-jon-arnold-senate-district-43.html', u'http://ssp.stparchive.com/Archive/SSP/SSP03142012p20.php', u'http://montanaprolifecoalition.org/endorsements.htm', u'http://politicalgraveyard.com/bio/arnold.html', u'http://www.conservativeactionalerts.com/2012/07/big-green-pours-millions-into-decisive-senate-races/', u'http://phototripper.net/jon-arnold-camerasim-2/'], [u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-jonathan-arnold-republican/article_d5f185ee-0dd2-11e2-8871-0019bb2963f4.html', u'http://jonarnoldforsenate.com/', u'http://mtstandard.com/special-section/election2012/', u'http://jonarnoldforsenate.com/Issues.html', u'http://www.washingtontimes.com/campaign-2012/candidates/jon-tester-55866/', u'http://www.conservativeactionalerts.com/2012/07/big-green-pours-millions-into-decisive-senate-races/', u'http://www.nrapvf.org/grades-endorsements/2012/montana.aspx', u'http://electionlawblog.org/', u'http://montanaprolifecoalition.org/endorsements.htm', u'http://helenair.com/'], [u'http://ugakr.libs.uga.edu/bitstream/handle/10724/8348/yu_yihai_200508_phd.pdf?sequence=1', u'http://article.wn.com/view/2012/07/12/Discovery_of_chemical_that_affects_biological_clock_offers_n/', u'http://www.pnas.org/content/81/16/5258.full.pdf', u'http://www.cs.arizona.edu/~kece/Research/papers/CK99.ps', u'http://cepceb.ucr.edu/documents/15-tourist_pc92.pdf', u'http://www.sciencedirect.com/science/article/pii/S0092867402007717'], [u'http://www.mtgop.org/index.php/legislature/102-jon-arnold-senate-district-43.html', u'http://www.nrapvf.org/grades-endorsements/2012/montana.aspx', u'http://mtstandard.com/special-section/election2012/', u'http://gallatindemocrats.com/', u'http://files.usgwarchives.net/special/afas/volume5/vol5no2-3.txt', u'http://billingsgazette.com/news/state-and-regional/montana/teacher-s-disappearance-may-be-abduction-police-chief-says/article_0437f02b-bc72-5ded-9f97-13d46304d8f4.html', u'http://www.nbcmontana.com/ktvm', u'http://abcnews.go.com/US/missing-montana-teacher-sherry-arnold-fbi-joins-search/story?id=15337011', u'http://www.milescitystar.com/news/index.php', u'http://www.kbzk.com/']]"
MT00279,"[[u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-rob-mccoy-libertarian/article_36e41d84-992b-11e1-ba2e-001a4bcf887a.html', u'http://www.facebook.com/robert.mccoy.50', u'http://www.lp.org/candidates/liberty-candidates-12/rob-mccoy', u'http://norml.org/ca/item/robert-g-mccoy', u'http://names.whitepages.com/Robert/Mccoy', u'http://libarts.wsu.edu/history/graduate-studies/public-faculty.asp', u'http://www.standwithmontanans.org/7916', u'http://www.whitepages.com/name/Mccoy/Montana', u'http://www.kfbb.com/news/state/170357346.html', u'http://www.ronformontana.com/Endorsed-Candidates.html'], [u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-rob-mccoy-libertarian/article_36e41d84-992b-11e1-ba2e-001a4bcf887a.html', u'http://www.standwithmontanans.org/7916', u'http://www.lp.org/candidates/liberty-candidates-12/rob-mccoy', u'http://m.missoulian.com/news/state-and-regional/democrat-enters-race-against-former-state-senate-leader-thomas-and/article_ac6fd7fc-e73a-11e1-8c5a-0019bb2963f4.html', u'http://www.ravallirepublic.com/news/local/article_e5dbcf9e-01f9-11e2-a4c9-001a4bcf887a.html', u'http://saveopen.info/2.html', u'http://watchdog.org/', u'http://archive.org/stream/williammccoyand00mccogoog/williammccoyand00mccogoog_djvu.txt', u'http://hosted.ap.org/dynamic/files/elections/2012/by_state/MT_State_Senate_0605.html?SITE=CSPANELN&SECTION=POLITICS', u'http://www.commonblog.com/'], [u'http://www.facebook.com/scatoe', u'http://www.facebook.com/carroll.s.duncan', u'http://www.facebook.com/andrew.j.faile', u'http://www.facebook.com/lin.bennett', u'http://www.facebook.com/ellen.robinson.3990', u'http://www.facebook.com/glenda.rawlings.3', u'http://www.facebook.com/delinda.ridings', u'http://www.facebook.com/southcarolina.transparencyinitiative', u'http://www.facebook.com/billy.pickering.37', u'http://www.facebook.com/mark.cook.1069020'], [u'http://www.lp.org/candidates/liberty-candidates-12/rob-mccoy', u'http://www.standwithmontanans.org/7916', u'http://www.mtcia.org/2011/07/marijuana-aid-a-time-for-friends-challenges-in-the-bitterroot/', u'http://www.selwaybitterroot.org/volunteer/', u'http://archive.org/stream/williammccoyand00mccogoog/williammccoyand00mccogoog_djvu.txt', u'http://freepages.genealogy.rootsweb.ancestry.com/~allourrelations/mccoy/joseph.html', u'http://www.winefoodfestival.com/participants/volunteers/', u'http://mt4hcentennial.squarespace.com/county-resources/centennial_guide.pdf', u'http://fatpastor.wordpress.com/', u'http://www.linkedin.com/pub/rob-hiestand/19/b28/1ba']]"
MT00275,"[[u'http://www.ckaufmann.com/', u'http://openstates.org/mt/legislators/MTL000022/christine-kaufmann/', u'http://ckaufmann.com/about_christine.html', u'http://www.facebook.com/ChristineKaufmannMT', u'http://www.ckaufmann.com/news_page3.html', u'http://www.victoryfund.org/endorsed_candidates/profile/candidate:611', u'http://www.fairisfairmontana.org/faces-of-fairness/christine-kaufmann-helena-mt', u'http://www.youtube.com/watch?v=HA0lD9Kn_jw', u'http://www.answers.com/topic/christine-kaufmann', u'http://www.advocate.com/news/daily-news/2011/02/24/montana-sens-ok-sodomy-law-repeal'], [u'http://www.victoryfund.org/endorsed_candidates/profile/candidate:611', u'http://openstates.org/mt/legislators/MTL000022/christine-kaufmann/', u'http://www.ckaufmann.com/news_page3.html', u'http://www.democracynow.org/2009/4/23/campaign_in_montana_seeks_to_establish', u'http://ckaufmann.com/about_christine.html', u'http://www.nesri.org/programs/montana%E2%80%99s-human-right-to-health-care-campaign', u'http://twitter.com/SenatorKaufmann', u'http://dlcc.org/about/board', u'http://www.youtube.com/watch?v=xmc8R7EsCWI', u'http://www.leadershipforchange.org/awardees/awardee.php?ID=119'], [u'http://www.ckaufmann.com/', u'http://fritz.breuss.wifo.ac.at/Badinger_Breuss_WIFO_WP_220_04_2004.pdf', u'http://www.ckaufmann.com/news_page3.html'], [u'http://ckaufmann.com/about_christine.html', u'http://www.victoryfund.org/endorsed_candidates/profile/candidate:611', u'http://ckaufmann.com/pdf/ck_flyer.pdf', u'http://twitter.com/SenatorKaufmann', u'http://mtvoters.org/2012/endorsed', u'http://www.historycommons.org/timeline.jsp?timeline=civilliberties&civilliberties_patriot_act=civilliberties__tenther__initiative', u'http://dgsmith.org/2012/05/21/montana-pride-2012-details/', u'http://wagner.nyu.edu/leadership/reports/files/Group3Portrait.pdf', u'http://dgsmith.org/2012/07/05/free-money-pride-foundation-deadline-july-31/', u'http://www.fairisfairmontana.org/action-center']]"
MT00283,"[[u'http://barrettforsd47.com/', u'http://www.nationalfiddlerhalloffame.org/HallOfFame/dickbarrettbio.html', u'http://mtcowgirl.com/tag/dick-barrett/', u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-dick-barrett-democrat/article_8e0f621a-0390-11e2-8df6-0019bb2963f4.html', u'http://www.grandmasterfiddler.com/14103.html', u'http://www.ravallirepublic.com/news/opinion/mailbag/article_80539855-c824-586a-8c4c-1877cc4b7299.html', u'http://www.sitesviolin.com/apps/blog/show/12842908-dick-barrett', u'http://www.ravallirepublic.com/news/opinion/mailbag/article_4a493caa-17c8-5a44-b891-eacb77f9f8f2.html', u'http://www.linkedin.com/pub/dir/Richard/Barrett,+Jr.', u'http://www.dickbarrett.com/cds.html'], [u'http://barrettforsd47.com/', u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-dick-barrett-democrat/article_8e0f621a-0390-11e2-8df6-0019bb2963f4.html', u'http://barrettforsd47.com/contribute.html', u'http://missoulian.com/news/state-and-regional/legislative-candidates-offer-health-care-positions-at-missoula-forum/article_3f3c3df0-084c-11e2-8542-0019bb2963f4.html', u'http://barrettforsd47.com/about_dick.html', u'http://missoulian.com/elections_2012/state/state_legislative_races/senate-district-fred-carl-republican/article_2e5bcd8a-0391-11e2-9392-0019bb2963f4.html', u'http://barrettforsd47.com/ask_dick.cfm', u'http://electionlawblog.org/', u'http://barrettforsd47.blogspot.com/2012/08/coal-delusions.html', u'http://www.campaignmoney.com/political/contributions/richard-barrett.asp?cycle=08'], [u'http://missoulian.com/news/opinion/mailbag/election-dick-barrett-for-sd/article_a09c6392-f8ff-11e1-a166-0019bb2963f4.html', u'http://www.ravallirepublic.com/news/opinion/mailbag/article_80539855-c824-586a-8c4c-1877cc4b7299.html', u'http://news.silobreaker.com/dick-barrett-11_39373931', u'http://www.lasvegasgmp.com/assets/pdf/6-septic_study_results.pdf', u'http://www.ravallirepublic.com/news/opinion/mailbag/article_ab59929c-f3a2-5259-b5de-46cdae27afe9.html'], [u'http://barrettforsd47.com/', u'http://www.umt.edu/ethics/Events/Events%20Archive.aspx', u'http://barrettforsd47.com/about_dick.html', u'http://www.missoulaagingservices.org/legislation.html', u'http://barrettforsd47.com/volunteer.cfm', u'http://www.andrewsforhd100.com/endorsements', u'http://barrettforsd47.com/contribute.html', u'http://www.missoulaagingservices.org/assets/files/June%202012.pdf', u'http://www.carl4mtstatesenate.com/news/freds_august_letter_response_to_opponent', u'http://www.missoulaagingservices.org/march-for-meals.html']]"
MT00287,"[[u'http://pambucy.com/', u'http://mtcowgirl.com/tag/pam-bucy/', u'http://intelligentdiscontent.com/category/montana-politics/2012-statewide/pam-bucy/', u'http://www.lonepeaklookout.com/news/article_d60ef030-fd19-11e1-abe2-0019bb2963f4.html', u'http://montanademocrats.org/node/370', u'http://www.facebook.com/pages/Pam-Bucy-for-Attorney-General/200744636642612', u'http://mtvoters.org/2012/endorsed', u'http://twitter.com/PamBucy', u'http://missoulian.com/news/local/fox-aims-to-be-first-republican-montana-ag-in-years/article_651c0aec-b69d-11e1-a157-0019bb2963f4.html', u'http://www.linkedin.com/pub/pam-bucy/3b/b0a/229'], [u'http://intelligentdiscontent.com/category/montana-politics/2012-statewide/pam-bucy/', u'http://mtcowgirl.com/tag/pam-bucy/', u'http://www.facebook.com/pages/Pam-Bucy-for-Attorney-General/200744636642612', u'http://www.wcfonline.org/pages/candidates/2011-2012-candidates/pam-bucy.html', u'http://mtprnews.wordpress.com/', u'http://www.lonepeaklookout.com/news/article_d60ef030-fd19-11e1-abe2-0019bb2963f4.html', u'http://mtvoters.org/2012/endorsed', u'http://billingsgazette.com/elections/results/candidate_a7ef9dcc-6d35-11e1-a6dc-0019bb2963f4.html', u'http://www.kulr8.com/news/local/Montanas-Primary-Election-157461065.html', u'http://billingsgazette.com/elections/party/democrat/pam-bucy/candidate_a7ef9dcc-6d35-11e1-a6dc-0019bb2963f4.html'], [u'http://pambucy.com/', u'http://montanademocrats.org/node/370', u'http://www.facebook.com/pages/Pam-Bucy-for-Attorney-General/200744636642612', u'http://intelligentdiscontent.com/category/montana-politics/2012-statewide/pam-bucy/', u'http://www.linkedin.com/pub/pam-bucy/3b/b0a/229', u'http://intelligentdiscontent.com/2012/09/26/laslovich-offers-clear-support-for-pam-bucy/', u'http://twitter.com/PamBucy', u'http://intelligentdiscontent.com/2012/05/08/ag-candidate-conducting-illegal-robo-calls/', u'http://missoulian.com/news/opinion/mailbag/attorney-general-pam-bucy-has-won-respect-confidence/article_d07eb902-098a-11e2-9343-001a4bcf887a.html', u'http://emilyslist.org/news/releases/emilys_list_endorses_record_number_of_women_for_statewide'], [u'http://mtcowgirl.com/2012/05/18/guest-post-pam-bucys-volunteer-work-has-made-montana-a-more-just-state/', u'http://intelligentdiscontent.com/2012/05/16/jesse-laslovich-and-pam-bucy-on-immigration/', u'http://mtcowgirl.com/tag/pam-bucy/', u'http://mtvoters.org/2012/endorsed', u'http://www.lonepeaklookout.com/news/article_d60ef030-fd19-11e1-abe2-0019bb2963f4.html', u'http://billingsgazette.com/elections/party/democrat/pam-bucy/candidate_a7ef9dcc-6d35-11e1-a6dc-0019bb2963f4.html', u'http://helenair.com/news/local/govt-and-politics/pam-bucy/article_87eb61ae-a49a-11e1-87f0-001a4bcf887a.html', u'http://billingsgazette.com/news/opinion/editorial/gazette-opinion/gazette-opinion-bucy-offers-best-experience-for-attorney-general/article_7fb6606a-ba4a-5819-958d-7c22615035f5.html', u'http://www.linkedin.com/pub/jordan-brown/a/4a8/1a1', u'http://www.facebook.com/pages/Pam-Bucy-for-Attorney-General/200744636642612']]"
MT00288,"[[u'http://edsmithformontana.com/about-ed/', u'http://mympea.org/2012/08/ed-smith/', u'http://edsmithformontana.com/', u'http://www.agweek.com/event/article/id/17243/', u'http://www.statefarm.com/agent/US/MT/Billings/Ed-Smith-BB8361YS000', u'http://missoulian.com/news/state-and-regional/republicans-urge-writing-in-montana-gop-director-for-supreme-court/article_21d44cb8-9b0e-11e1-832f-001a4bcf887a.html', u'http://billingsgazette.com/elections/results/candidate_def5d2dc-6d53-11e1-88de-0019bb2963f4.html', u'http://www.rootsweb.ancestry.com/~mtdeerlo/lawofficers.htm', u'http://politicalgraveyard.com/bio/smith3.html', u'http://www.linkedin.com/in/beckyhsmith'], [u'http://edsmithformontana.com/', u'http://m.missoulian.com/news/state-and-regional/bucy-has-more-campaign-funds-in-montana-attorney-general-race/article_9796f316-bff7-11e1-9f86-001a4bcf887a.html', u'http://m.billingsgazette.com/news/state-and-regional/montana/crowded-campaign-year-offers-many-stark-choices-for-montanans/article_6e5d91d5-46ca-5428-ab93-605c26ec0eca.html', u'http://mtstandard.com/news/local/gop-mounts-effort-to-get-supreme-court-clerk-candidate/article_68762094-9ba2-11e1-8393-0019bb2963f4.html', u'http://m.billingsgazette.com/news/state-and-regional/montana/fox-out-raises-bucy-in-latest-period-in-ag-race/article_e4f16723-2ff0-540b-89a5-4a10e9bf3f6c.html', u'http://edsmith4congress.com/donate.html', u'http://www.huffingtonpost.com/2012/09/25/john-edward-smith-released_n_1912739.html', u'http://intelligentdiscontent.com/2012/05/14/montana-politics-winners-and-losers-of-the-week-14-may-2012/', u'http://billingsgazette.com/news/state-and-regional/montana/write-in-effort-for-gop-official-fails/article_bb17c6a0-49aa-5bb4-b3b7-eee3da6d473b.html', u'http://www.ncsl.org/Portals/1/Documents/magazine/articles/2008/08sldec08_makinghistory.pdf'], [u'http://edsmithformontana.com/', u'http://mympea.org/2012/08/ed-smith/', u'http://edsmithformontana.com/about-ed/', u'http://www.rootsweb.ancestry.com/~mtdeerlo/lawofficers.htm', u'http://edsmithformontana.com/testimonials/', u'http://mympea.org/wp-content/uploads/2012/07/Vol33No2.pdf', u'http://edsmithformontana.com/con-con-1972/', u'http://www.historylink.org/index.cfm?DisplayPage=output.cfm&file_id=7397', u'http://theophostic.com/page12444411.aspx', u'http://homepage.psy.utexas.edu/homepage/group/busslab/pdffiles/afa%20cross%20culture%201989.pdf'], [u'http://www.agweek.com/event/article/id/17243/', u'http://www.theteller.org/content/index/105', u'http://ncfp.wordpress.com/2012/05/23/4-forests-restoration-initiative-update-a-sinking-feeling-the-forest-service-has-done-it-again/', u'http://www.valleyhistory.org/index.php?c=104', u'http://firesafemt.org/2012-conference-speaker-biographies/', u'http://www.linkedin.com/in/beckyhsmith', u'http://www.executedtoday.com/tag/edward-smith/', u'http://www.linkedin.com/pub/dir/Rebecca+%22becky%22/Smith', u'http://www.stadiumjourney.com/stadiums/ed-smith-stadium-s880/', u'http://www.freyenhagenconstruction.com/about/our-team']]"
MT00286,"[[u'http://www.foxforag.com/', u'http://intelligentdiscontent.com/category/montana-politics/2012-statewide/tim-fox/', u'http://montanaheadlines.blogspot.com/2012/06/tim-fox-charges-ahead.html', u'http://intelligentdiscontent.com/2012/03/19/republican-attorney-general-candidates-miss-the-target/', u'http://www.gsjw.com/attorneyprofiles/attorney.asp?id=2267', u'http://www.kpax.com/news/attorney-general-candidate-profile-tim-fox/', u'http://www.lonepeaklookout.com/news/article_1f5f1d1e-fd1a-11e1-b396-0019bb2963f4.html', u'http://www.huffingtonpost.com/2012/05/22/montana-attorney-general_n_1537034.html', u'http://www.linkedin.com/pub/tim-fox/9/41b/578'], [u'http://intelligentdiscontent.com/category/montana-politics/2012-statewide/tim-fox/', u'http://polymontana.com/tim-fox-is-running-for-attorney-general/', u'http://intelligentdiscontent.com/2012/03/19/republican-attorney-general-candidates-miss-the-target/', u'http://mtprnews.wordpress.com/2012/05/30/republican-tim-fox-confident-in-run-for-attorney-general-again-despite-2008-loss/', u'http://intelligentdiscontent.com/2008/10/27/tim-foxs-shameful-campaign-for-attorney-general/', u'http://helenair.com/news/local/tim-fox-running-again-for-attorney-general/article_877ef274-5159-11e1-921f-001871e3ce6c.html', u'http://www.huffingtonpost.com/2012/05/22/montana-attorney-general_n_1537034.html', u'http://billingsgazette.com/news/state-and-regional/montana/fox-shockley-chase-gop-nomination-for-ag/article_307128d0-e076-59df-8e66-0f5503c3b8ed.html', u'http://montana.mediatrackers.org/2012/06/05/tim-fox-speaks-with-media-trackers-on-election-night/'], [u'http://www.foxforag.com/', u'http://www.youtube.com/watch?v=mKn_KedWwI4', u'https://www.mtsp.biz/fox/', u'http://www.youtube.com/watch?v=_KAGH7uhcus', u'http://www.youtube.com/watch?v=OmVlLwMk9N8', u'http://havredailycorrector.blogspot.com/2012/08/its-tim-fox-for-me-bucy-scares-me.html', u'http://m.billingsgazette.com/news/state-and-regional/montana/national-gop-group-buying-ads-in-attorney-general-s-race/article_deb029fe-ffb2-5907-86b7-051575e61cda.html?comment_form=true'], [u'http://www.mtgop.org/index.php/attorney-general/tim-fox.html', u'http://www.foxforag.com/', u'http://www.linkedin.com/pub/tim-fox/9/41b/578', u'https://twitter.com/timcfox', u'http://polymontana.com/tim-fox-is-running-for-attorney-general/', u'http://www.linkedin.com/pub/dir/Tim/Fox', u'http://www.dailykos.com/news/Tim%20Fox', u'http://billingsgazette.com/news/state-and-regional/montana/national-gop-group-buying-ads-in-attorney-general-s-race/article_deb029fe-ffb2-5907-86b7-051575e61cda.html']]"
MT00294,"[[u'http://tooleyforpsc.org/', u'http://www.kulr8.com/news/local/Chuck-Tooley-Runs-For-Montana-Public-Service-Commission-142418815.html', u'http://www.linkedin.com/pub/chuck-tooley/7/674/634', u'http://www.facebook.com/ChuckTooleyforPSC/info', u'http://www.linkedin.com/pub/dir/Chuck/Tooley/us-88-Billings,-Montana-Area', u'http://billingsgazette.com/news/opinion/mailbag/vote-chuck-tooley-for-montana-psc/article_520eebeb-b4bf-57df-85f5-e8025400f385.html', u'http://www.billingsnews.com/index.php/local-news/3335-tooley-in-race-for-psc', u'http://billingsgazette.com/news/state-and-regional/montana/tooley-bushman-appear-headed-for-ballot-in-psc-district/article_fc6aad92-a36a-5c03-bab3-3df186c7bbdd.html', u'http://water.montana.edu/mwnewsletter/archives/2008/newsletter_08_08.htm', u'http://billingsgazette.com/elections/party/democrat/chuck-tooley/candidate_8da0f058-6d51-11e1-85ae-0019bb2963f4.html'], [u'http://billingsgazette.com/news/state-and-regional/montana/bullock-hill-win-governor-primaries/article_f1a9c838-b251-514b-8d64-4561b8d179ae.html', u'http://tooleyforpsc.org/', u'http://billingsgazette.com/news/state-and-regional/montana/tooley-bushman-appear-headed-for-ballot-in-psc-district/article_fc6aad92-a36a-5c03-bab3-3df186c7bbdd.html', u'http://m.billingsgazette.com/news/state-and-regional/montana/tooley-bushman-appear-headed-for-ballot-in-psc-district/article_fc6aad92-a36a-5c03-bab3-3df186c7bbdd.html', u'http://tooleyforpsc.org/Media.html', u'http://m.missoulian.com/news/state-and-regional/montana-public-service-commission-candidates-disclose-campaign-cash/article_bdecc56a-a849-11e1-b643-001a4bcf887a.html', u'http://www.billingsnews.com/index.php/letters-to.../3456-voting-for-tooley', u'http://m.billingsgazette.com/news/state-and-regional/montana/candidates-keep-close-eye-on-unreturned-ballots/article_37abe099-4cab-57e4-81ca-75016c9be840.html', u'http://mtvoters.org/2012/endorsed', u'http://www.facebook.com/ChuckTooleyforPSC'], [u'http://tooleyforpsc.org/', u'http://billingsgazette.com/news/opinion/mailbag/vote-chuck-tooley-for-montana-psc/article_520eebeb-b4bf-57df-85f5-e8025400f385.html', u'http://www.facebook.com/ChuckTooleyforPSC/info', u'http://tooleyforpsc.org/Endorse.html', u'http://www.facebook.com/ChuckTooleyforPSC', u'http://www.laureloutlook.com/news/article_494bf3ac-0d7f-11e2-8896-001a4bcf887a.html', u'http://www.facebook.com/ChuckTooleyforPSC?filter=2', u'http://globalministries.org/news/news/former-gm-board-member.html', u'http://www.facebook.com/pages/Yellowstone-County-Democrats/209931702356243', u'http://fr-ca.facebook.com/carrie.laseur'], [u'http://billingsgazette.com/news/opinion/mailbag/vote-chuck-tooley-for-montana-psc/article_520eebeb-b4bf-57df-85f5-e8025400f385.html', u'http://tooleyforpsc.org/Contact.html', u'http://water.montana.edu/mwnewsletter/archives/2008/newsletter_08_08.htm', u'http://billingsgazette.com/news/opinion/editorial/gazette-opinion/gazette-opinion-tooley-s-public-service-experience-will-serve-psc/article_4aeff072-b0e6-5cda-94ac-0175411f7c05.html', u'http://www.facebook.com/ChuckTooleyforPSC', u'http://globalministries.org/news/news/former-gm-board-member.html', u'http://mtvoters.org/2012/endorsed', u'http://www.rocky.edu/about-rocky/office-of-the-president/BoardOfTrustees.php', u'http://www.laureloutlook.com/community/', u'http://missoulian.com/news/local/st-regis-area-fire-districts-threaten-stand-down-on-i/article_0c894380-82b9-11e1-9151-0019bb2963f4.html']]"
MT00291,"[[u'http://www.ronformontana.com/', u'http://www.independentpoliticalreport.com/2011/01/libertarian-ron-vandevender-to-run-for-governor-of-montana/', u'http://www.ronformontana.com/More-About-Ron.html', u'http://mtcowgirl.com/tag/ron-vandevender/', u'http://planet.infowars.com/video/ron-vandevender-libertarian-candidate-for-governor-montana', u'https://twitter.com/Ron_for_Montana', u'http://www.youtube.com/watch?v=0ZUbqZveEcY', u'http://www.facebook.com/ron.vandevender', u'http://billingsgazette.com/elections/results/candidate_c1a4ca8c-6d33-11e1-a5b2-0019bb2963f4.html', u'http://www.belgrade-news.com/opinion/columnists/columnist_one/article_d71e9572-1aa1-11e0-a1af-001cc4c03286.html'], [u'http://www.ronformontana.com/CAMPAIGN-PRINTED-MATERIAL.html', u'http://www.belgrade-news.com/opinion/columnists/columnist_one/article_d71e9572-1aa1-11e0-a1af-001cc4c03286.html', u'http://billingsgazette.com/elections/results/candidate_c1a4ca8c-6d33-11e1-a5b2-0019bb2963f4.html', u'http://www.ronformontana.com/', u'http://www.publicpolicypolling.com/main/2012/09/bullock-edges-hill-for-montana-governor.html', u'http://www.independentpoliticalreport.com/2011/01/libertarian-ron-vandevender-to-run-for-governor-of-montana/', u'http://thewesternword.com/2012/09/19/campaign-2012-wednesday-quick-hits/', u'http://m.billingsgazette.com/news/state-and-regional/montana/first-of-gubernatorial-debates-set-tuesday/article_172f4068-89ef-56e3-abc6-b36fcda9c93e.html', u'http://missoulian.com/news/local/montana-governor-s-race-too-close-to-call-poll-says/article_75216716-0387-11e2-8e74-0019bb2963f4.html', u'http://www.politics1.com/mt.htm'], [u'http://www.ronformontana.com/', u'http://www.facebook.com/ReporterMarneeBanks', u'http://www.independentpoliticalreport.com/2010/09/boston-tea-party-announces-candidate-endorsements/', u'http://www.facebook.com/ReporterMarneeBanks?filter=2'], [u'http://www.lp.org/candidates/liberty-candidates-12/ron-vandevender', u'http://www.facebook.com/pages/Montana-Libertarian-Party/93795981633', u'http://secular.org/event/secular-coalition-montana-monthly-conference-call-0', u'http://www.politics1.com/mt.htm', u'http://billingsgazette.com/news/state-and-regional/montana/missoula-man-killed-by-fast-moving-train/article_d19fa4b4-0532-5667-ba34-924287702170.html', u'http://missoulian.com/news/state-and-regional/baby-boomer-retirees-choose-unconventional-destinations-including-nw-montana/article_f7932d40-0014-11e2-8589-0019bb2963f4.html', u'http://www.svh-mt.org/', u'http://billingsgazette.com/news/state-and-regional/montana/governor-candidates-bullock-hill-eager-for-series-of-debates/article_0b41e034-af91-5f48-93ab-0a6ef71af9fd.html', u'http://polymontana.com/american-majority-montana-to-hold-training-in-helena/', u'http://www.politicalmontana.com/?p=27']]"
